panel_group	panel_label	output_type	summary	proxy_tier	tracks	median_auroc	median_aupr	best_auroc	best_aupr	median_auroc_rank	median_aupr_rank
Ast	astrocyte	cage	gene_span	direct_cell_label	2	0.4529545054708557	0.3117686021271944	0.4616537510290947	0.31637434619670823	158.5	155.5
Ast	astrocyte	cage	gene_span	unmatched	271	0.451819277293643	0.311428525895842	0.5166523760559965	0.3627079872732095	137.0	137.0
Ast	astrocyte	cage	tss_bin	direct_cell_label	2	0.46212218130514837	0.3335270252989369	0.4638630595115686	0.3345827589808521	147.5	114.5
Ast	astrocyte	cage	tss_bin	unmatched	271	0.46306672804227744	0.3307563882264577	0.4943512945243618	0.37184048965337757	137.0	138.0
Ast	astrocyte	rna_seq	gene_span	direct_cell_label	1	0.46734537103777163	0.340544096987978	0.46734537103777163	0.340544096987978	321.0	304.0
Ast	astrocyte	rna_seq	gene_span	unmatched	370	0.4980512104887389	0.36732681729758404	0.5847858799657025	0.45930262730873656	185.5	185.5
Ast	astrocyte	rna_seq	tss_bin	direct_cell_label	1	0.4814768492107142	0.3349572199996517	0.4814768492107142	0.3349572199996517	259.0	267.0
Ast	astrocyte	rna_seq	tss_bin	unmatched	370	0.49441015789132076	0.34580945671602303	0.5522111873277014	0.3999241081500895	185.5	185.5
End	endothelial	cage	gene_span	direct_cell_label	8	0.5108321732612304	0.18535620905415562	0.5164707929539005	0.19135888907485654	153.5	115.0
End	endothelial	cage	gene_span	unmatched	265	0.5132850564865878	0.18252751115371754	0.572867028966108	0.22937392789791686	135.0	141.0
End	endothelial	cage	tss_bin	direct_cell_label	8	0.5043720217379666	0.21379420953089892	0.5135694972425979	0.22696907759792184	85.5	124.0
End	endothelial	cage	tss_bin	unmatched	265	0.4971957487819243	0.21140597896970048	0.5344340632863951	0.25334263832867693	140.0	139.0
End	endothelial	rna_seq	gene_span	direct_cell_label	14	0.5420336510146169	0.22687911241170045	0.5501151148471382	0.2504428263671729	181.0	122.5
End	endothelial	rna_seq	gene_span	unmatched	357	0.5405378272741875	0.21204314563576948	0.6082481126519248	0.2935199958303502	188.0	193.0
End	endothelial	rna_seq	tss_bin	direct_cell_label	14	0.5434474888900787	0.22017152629764003	0.5608167799967875	0.22641723448631926	195.5	92.0
End	endothelial	rna_seq	tss_bin	unmatched	357	0.5473510199710874	0.19918811837120465	0.6126418857418215	0.2586861977355649	184.0	193.0
Ext	excitatory	cage	gene_span	unmatched	273	0.47785524170189936	0.41575060545513387	0.5340529642780317	0.4616789601234182	137.0	137.0
Ext	excitatory	cage	tss_bin	unmatched	273	0.46930994530509934	0.41974598804334207	0.4894311645970105	0.44841189463416953	137.0	137.0
Ext	excitatory	rna_seq	gene_span	related_neuronal_cell	1	0.5191353382902987	0.49626990525286907	0.5191353382902987	0.49626990525286907	200.0	49.0
Ext	excitatory	rna_seq	gene_span	unmatched	370	0.5206804289489919	0.4741908399761611	0.5912324761657252	0.5542505982744415	185.5	186.5
Ext	excitatory	rna_seq	tss_bin	related_neuronal_cell	1	0.4969371627081999	0.4398674438575738	0.4969371627081999	0.4398674438575738	277.0	212.0
Ext	excitatory	rna_seq	tss_bin	unmatched	370	0.5069644485128221	0.4420340783360212	0.5447646753690967	0.4758628699652352	185.5	185.5
IN	inhibitory	cage	gene_span	generic_neuronal_proxy	2	0.4745700222937366	0.3501480613599066	0.47795875087215567	0.3522378570979141	99.5	58.5
IN	inhibitory	cage	gene_span	unmatched	271	0.4705769660906359	0.3411068238663167	0.5143100456089738	0.38473424202407547	138.0	138.0
IN	inhibitory	cage	tss_bin	generic_neuronal_proxy	2	0.46242836412052357	0.3583876629352165	0.46449944431095824	0.3587697139335799	257.5	87.0
IN	inhibitory	cage	tss_bin	unmatched	271	0.47111693858351694	0.35474160015640976	0.49121306550850086	0.38346566973176316	136.0	138.0
IN	inhibitory	rna_seq	gene_span	generic_neuronal_proxy	3	0.5136226684311713	0.412810480732101	0.5263404997988883	0.4284397382673264	174.0	96.0
IN	inhibitory	rna_seq	gene_span	unmatched	368	0.512472841201915	0.3981045033457908	0.5858198768592602	0.4860886869323199	186.5	186.5
